통계표명:,"앞으로 하고 싶은 여가활동(2015~2017,복수응답)",,,,,,,,,,,,,,,,,,,,,,,,,,
단위:,%,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,2017,,,,,,,,,2019,,,,,,,,
,전국,남자,여자,13~19세,20~29세,30~39세,40~49세,50~59세,60세이상,전국,남자,여자,13~19세,20~29세,30~39세,40~49세,50~59세,60세이상,전국,남자,여자,13~19세,20~29세,30~39세,40~49세,50~59세,60세이상
TV 및 DVD 시청,15.8,16.2,15.4,16.9,9.9,10.7,10.9,15.4,28.4,15.8,16.4,15.3,17.7,10.4,9.6,11.5,14.0,28.0,17.9,18.8,17.0,16.8,11.2,10.7,13.5,15.9,31.5
문화예술관람,34.2,28.0,40.3,45.8,45.9,43.3,38.6,27.7,15.0,38.5,32.1,44.6,45.6,51.6,48.3,42.3,34.1,20.6,38.9,32.0,45.8,46.2,49.9,47.4,45.1,35.9,22.4
문화예술참여,9.2,8.6,9.8,12.4,13.2,10.3,9.3,8.7,4.4,9.6,8.4,10.9,10.7,13.4,11.2,10.0,9.4,5.6,10.7,9.1,12.2,12.7,14.2,12.1,12.1,10.3,6.2
스포츠관람,9.4,15.1,3.8,12.1,13.1,10.9,10.0,8.6,4.5,10.2,16.5,4.1,14.3,12.1,11.5,10.9,10.8,5.5,10.8,17.2,4.6,15.5,13.2,12.2,10.7,10.9,7.2
스포츠 활동,24.1,32.9,15.6,31.0,28.5,30.2,29.6,22.3,9.4,24.9,34.1,15.9,26.4,27.0,28.9,30.2,26.7,14.4,24.4,33.0,16.0,25.8,26.0,28.3,30.2,26.1,14.8
관광활동,59.4,56.1,62.6,44.9,58.4,64.8,65.3,62.8,54.0,71.5,67.7,75.1,53.7,71.3,76.5,74.6,75.4,68.9,70.0,66.9,73.0,52.0,67.0,73.9,74.8,74.7,67.7
"컴퓨터 게임, 인터넷 검색 등",5.6,8.7,2.6,21.5,9.7,5.0,2.9,2.1,1.3,7.8,11.7,4.0,33.5,13.8,7.0,4.2,3.0,1.7,9.7,14.7,4.8,39.0,18.7,10.3,5.8,3.4,2.4
취미.자기개발 활동,34.2,31.2,37.1,38.8,42.2,41.5,37.5,31.8,19.5,46.4,42.5,50.1,44.6,55.1,55.8,52.4,44.2,31.5,46.7,42.7,50.6,44.8,54.1,56.3,52.5,46.7,32.5
휴식활동,20.4,19.7,21.0,19.4,16.7,18.7,17.9,19.4,27.8,24.0,23.9,24.1,28.5,19.7,21.5,21.7,21.9,30.6,27.5,26.8,28.1,30.1,23.2,24.6,24.4,25.2,35.0
사회 및 기타 활동,16.1,12.9,19.2,7.6,9.9,9.5,16.3,22.6,24.0,20.6,17.1,24.0,8.9,10.6,12.8,21.5,27.7,30.6,18.5,15.0,21.9,6.2,10.2,11.0,16.0,24.4,29.5
기타,0.2,0.2,0.2,0.3,0.0,0.1,0.1,0.4,0.4,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.3,0.5,0.2,0.2,0.2,0.3,0.1,0.0,0.0,0.1,0.4
출처:,"통계청,「사회조사」각년도",,,,,,,,,,,,,,,,,,,,,,,,,,
주석:,통계생산주기 : 2년 (2019년 자료 12월 말 입력예정),,,,,,,,,,,,,,,,,,,,,,,,,,
